,TC,date,lbl,datedelta
540,TNST101TC125,2018-07-21,f,36
541,TNST101TC125,2018-12-06,f,138
542,TNST101TC125,2018-12-11,f,5
543,TNST101TC125,2019-07-08,f,209
544,TNST101TC126,2014-01-21,f,737
545,TNST101TC126,2014-08-07,f,198
546,TNST101TC126,2015-07-27,f,354
547,TNST101TC126,2016-11-11,f,473
548,TNST101TC126,2017-08-19,f,281
549,TNST101TC126,2019-03-03,f,561
550,TNST101TC126,2019-10-27,f,238
551,TNST101TC126,2019-10-28,f,1
552,TNST101TC127,2014-04-12,f,818
553,TNST101TC127,2015-01-05,f,268
554,TNST101TC127,2015-01-20,f,15
555,TNST101TC127,2015-03-13,f,52
556,TNST101TC127,2015-05-04,f,52
557,TNST101TC127,2015-05-29,f,25
558,TNST101TC127,2015-06-02,f,4
559,TNST101TC127,2015-06-02,f,0
560,TNST101TC127,2015-07-19,f,47
561,TNST101TC127,2015-12-06,f,14
562,TNST101TC129,2012-03-29,f,43
563,TNST101TC129,2012-10-28,f,213
564,TNST101TC129,2016-09-12,f,1415
565,TNST101TC129,2017-11-15,f,429
566,TNST101TC129,2018-01-07,f,53
567,TNST101TC129,2018-06-30,f,174
568,TNST101TC129,2019-06-17,f,352
569,TNST101TC130,2012-09-06,f,235
570,TNST101TC130,2013-05-25,f,261
571,TNST101TC130,2013-08-05,f,72
572,TNST101TC130,2013-11-07,f,94
573,TNST101TC130,2019-06-23,f,2054
574,TNST101TC130,2019-06-24,f,1
575,TNST101TC130,2019-11-06,f,135
576,TNST101TC131,2018-05-17,f,2314
577,TNST101TC131,2018-10-26,f,162
578,TNST101TC131,2018-12-07,f,42
579,TNST101TC131,2019-03-12,f,95
580,TNST101TC131,2019-06-26,f,106
581,TNST101TC131,2019-07-08,f,12
582,TNST101TC132,2012-03-09,f,54
583,TNST101TC132,2012-03-30,f,21
584,TNST101TC132,2012-04-29,f,3
585,TNST101TC132,2012-04-30,f,1
586,TNST101TC132,2012-06-04,f,35
587,TNST101TC132,2012-08-11,f,68
588,TNST101TC132,2012-09-11,f,31
589,TNST101TC132,2012-09-26,f,15
590,TNST101TC132,2013-09-02,f,341
591,TNST101TC132,2014-01-18,f,138
592,TNST101TC132,2014-05-18,f,12
593,TNST101TC132,2014-05-31,f,13
594,TNST101TC132,2014-10-27,f,149
595,TNST101TC132,2016-01-07,f,437
596,TNST101TC132,2016-03-13,f,66
597,TNST101TC132,2016-04-20,f,38
598,TNST101TC132,2016-11-01,f,195
599,TNST101TC132,2017-10-02,f,335
600,TNST101TC132,2018-07-25,f,296
601,TNST101TC134,2013-01-20,f,371
602,TNST101TC134,2013-12-19,f,333
603,TNST101TC134,2014-06-29,f,192
604,TNST101TC134,2014-10-22,f,115
605,TNST101TC134,2014-12-22,f,61
606,TNST101TC134,2016-02-20,f,425
607,TNST101TC134,2016-04-27,f,67
608,TNST101TC134,2017-01-16,f,264
609,TNST101TC134,2018-07-11,f,541
610,TNST101TC134,2018-08-13,f,33
611,TNST101TC134,2018-08-14,f,1
612,TNST101TC134,2018-10-17,f,64
613,TNST101TC134,2019-10-19,f,367
614,TNST101TC134,2019-11-01,f,13
615,TNST101TC135,2014-06-11,f,878
616,TNST101TC135,2018-02-01,f,1331
617,TNST101TC138,2013-09-01,f,595
618,TNST101TC138,2016-07-13,f,1046
619,TNST101TC139,2019-01-27,f,2569
620,TNST101TC143,2012-08-05,f,3
621,TNST101TC143,2013-01-15,f,163
622,TNST101TC143,2013-07-15,f,181
623,TNST101TC143,2014-05-27,f,316
624,TNST101TC143,2014-05-28,f,1
625,TNST101TC143,2014-05-29,f,1
626,TNST101TC143,2014-08-12,f,58
627,TNST101TC143,2016-01-04,f,51
628,TNST101TC143,2016-02-13,f,4
629,TNST101TC143,2016-05-24,f,101
630,TNST101TC143,2017-01-08,f,229
631,TNST101TC143,2017-11-15,f,311
632,TNST101TC143,2018-06-07,f,204
633,TNST101TC143,2019-01-26,f,233
634,TNST101TC143,2019-10-27,f,274
635,TNST101TC143,2019-10-28,f,1
636,TNST101TC147,2018-08-09,f,2398
637,TNST101TC147,2019-12-05,f,483
638,TNST101TC148,2012-06-10,f,87
639,TNST101TC148,2013-03-13,f,276
640,TNST101TC148,2013-05-08,f,56
641,TNST101TC148,2013-09-04,f,112
642,TNST101TC148,2013-09-12,f,8
643,TNST101TC148,2013-12-13,f,92
644,TNST101TC148,2014-01-11,f,29
645,TNST101TC148,2014-03-22,f,7
646,TNST101TC148,2014-06-11,f,81
647,TNST101TC148,2014-08-07,f,57
648,TNST101TC148,2014-08-14,f,7
649,TNST101TC148,2014-11-18,f,96
650,TNST101TC148,2015-08-29,f,284
651,TNST101TC148,2015-11-22,f,85
652,TNST101TC148,2015-12-06,f,14
653,TNST101TC148,2016-09-22,f,291
654,TNST101TC148,2017-04-06,f,196
655,TNST101TC148,2017-10-27,f,204
656,TNST101TC148,2018-07-18,f,264
657,TNST101TC148,2018-09-04,f,48
658,TNST101TC148,2018-10-13,f,39
659,TNST101TC148,2018-10-28,f,15
660,TNST101TC148,2018-12-09,f,42
661,TNST101TC148,2018-12-23,f,14
662,TNST101TC148,2019-05-31,f,159
